# k P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.005902 58540.752763 14247.625790 -2632.026283 4472.515869 8163.338613 18651.623360 -1693.822239 13048.035816 3081.839357 8948.065898 
0.012832 68821.457444 7023.305712 416.918022 1483.784191 17529.969654 13966.466339 648.819342 5562.248072 -2149.971576 13446.832315 
0.020509 67166.403398 4215.465474 1596.912403 825.521570 22013.901960 9650.016498 1949.031090 2879.197554 -1404.830468 10927.766904 
0.028341 57865.306232 2665.255306 1781.446368 490.261121 20706.217816 6107.516529 1609.705885 1666.299965 -257.708266 7230.081274 
0.036280 47758.644926 1714.153701 1439.800341 322.518072 18130.913722 3958.483659 1272.470925 1006.180535 347.541970 4964.928081 
0.044244 39828.504680 1230.111218 1060.759045 219.864206 15388.091100 2820.173577 931.424686 689.996862 675.408604 3645.923362 
0.052197 34444.886760 913.135337 700.761420 171.662013 13241.985424 2079.391171 707.927627 498.497101 652.155798 2645.877022 
0.060153 30980.379383 705.335013 534.261012 135.102423 11728.723438 1641.135422 569.274939 396.310590 727.756027 2086.508203 
0.068134 27916.586466 587.086116 519.046276 102.293579 10343.866168 1347.893982 446.302503 304.105252 694.429528 1745.723685 
0.076134 24779.432633 462.358178 511.343637 86.640365 9121.488896 1096.151242 362.560556 257.778433 637.472165 1390.485935 
0.084117 21602.211072 390.375877 489.462297 69.588013 7941.957700 871.226414 282.078000 208.389725 553.998304 1139.096874 
0.092104 18715.416037 316.209483 413.525118 57.174633 6954.489625 710.712568 233.905489 173.216527 479.022400 914.084610 
0.100104 16471.054770 268.941349 326.867838 48.606182 6147.733057 603.378514 193.849197 142.418374 483.421797 766.339560 
0.108091 14868.738848 227.094457 242.999715 41.554364 5529.135154 527.776761 171.774721 123.111738 487.755689 646.674947 
0.116091 13738.722860 202.899327 203.815206 37.128299 4957.751645 457.033888 155.093721 107.406356 489.875579 583.330443 
0.124085 12801.585388 177.419094 192.390827 33.344696 4476.974450 398.181487 125.444008 98.084536 505.885772 519.413610 
0.132068 11880.037191 159.591419 190.595660 29.014614 4070.987361 349.319089 103.838686 85.265638 456.050269 450.198423 
0.140071 10937.306700 144.037132 193.429545 25.697711 3712.686493 328.199017 87.819255 75.658148 402.725954 412.664696 
0.148075 10025.769859 127.824874 181.951754 23.786151 3403.767064 285.889546 73.330245 68.914048 394.012023 358.469437 
0.156073 9210.952469 116.761745 164.916977 20.499578 3153.040843 250.840862 64.258266 61.358151 374.062827 337.017447 
0.164063 8551.140287 108.939886 144.509725 18.885693 2902.429435 233.448983 62.973878 55.069469 353.590576 292.548158 
0.172055 8005.998931 98.388649 129.814146 17.481712 2662.474836 214.108782 60.965690 51.474906 345.687441 266.752821 
0.180056 7544.040287 90.868883 124.801564 16.615084 2432.966539 193.829739 50.255968 49.097158 325.663821 252.245049 
0.188055 7125.393790 84.099532 119.059784 15.068957 2223.079102 180.199714 47.375947 44.829063 313.328242 235.456368 
0.196051 6731.975724 79.360272 118.239342 14.177396 2028.215686 169.624283 39.669001 41.474914 305.529087 213.249759 
0.204053 6348.270339 76.101544 116.880744 13.488347 1866.837930 158.257461 30.011514 38.315365 294.684111 199.427701 
0.212048 5987.764131 68.711135 111.739577 12.515893 1739.385735 147.807911 27.958263 36.439743 283.371346 182.552630 
0.220046 5663.338459 65.377898 108.726333 11.837859 1611.437098 138.444531 23.391006 34.783212 264.101757 175.392269 
0.228044 5373.785147 60.547082 103.633184 11.146090 1490.374115 127.227111 22.542891 32.551464 246.928937 162.488791 
0.236043 5113.975831 58.171550 100.498525 10.284940 1370.176455 120.472302 23.342404 29.735874 242.101561 153.323042 
0.244041 4880.395139 54.699822 98.980145 9.885329 1250.161236 115.838518 17.318853 28.905076 232.793537 147.044317 
0.252042 4660.893257 52.438199 97.200730 9.404006 1144.588811 107.578836 14.683806 26.821899 217.563034 140.813719 
0.260040 4460.669616 49.998640 95.860213 8.705813 1047.145663 102.456926 12.213459 25.111411 207.064629 131.724718 
0.268036 4275.052603 48.353607 94.595605 8.402787 954.201616 99.512607 11.220332 24.925136 199.853588 122.922194 
0.276036 4102.203159 45.170425 93.902341 8.125635 875.295487 94.533038 5.450289 23.736949 187.423285 117.484865 
0.284034 3947.187981 43.543105 92.266487 8.019814 796.967647 89.844275 6.894505 22.875387 174.897799 116.666296 
0.292035 3808.434032 41.602141 91.105706 7.666183 723.659464 88.702305 3.488977 21.926919 163.216622 109.020432 
