# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
0.412125 0.392807 0.000244 -0.808804 -0.000603 0.599729 0.001361 0.136597 0.002281 -2.969080
0.421724 1.508314 0.000585 1.553512 0.001430 -2.403303 -0.002058 -5.395180 0.005387 -8.192350
0.431548 2.518343 0.001063 -1.421963 0.000492 -5.322416 -0.017465 18.156000 0.009898 7.636070
0.441600 1.941276 0.000987 -2.678722 -0.001423 0.204523 0.001164 0.234660 -0.005848 7.787330
0.451886 0.498965 0.000137 0.506251 -0.000210 1.842970 0.002744 1.848070 0.002333 -1.580300
0.462412 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.473183 1.110474 0.000629 -0.979662 -0.000747 -0.395904 0.001879 -1.648750 -0.004349 1.938850
0.484204 1.400048 0.000809 -1.744759 -0.000517 -1.466847 -0.012039 15.753100 0.028380 -16.880300
0.495483 1.416637 0.000961 -1.201235 -0.000576 -1.535795 -0.004037 3.442100 -0.005566 6.516310
0.507024 0.168648 0.000086 -0.257659 -0.000106 -0.057055 -0.000892 1.703690 0.003143 -2.640630
0.518834 1.353858 0.000770 -0.117117 0.000341 -0.423179 0.001627 -2.280860 0.004830 -7.242690
0.530920 1.561976 0.000709 0.663265 0.002040 -4.186278 -0.011458 1.097220 -0.006968 6.129100
0.543286 1.369033 0.000632 0.741027 0.001217 -1.807787 -0.003552 -3.709660 -0.003870 -4.386220
0.555941 0.575878 0.000440 -0.738332 -0.000314 0.248611 -0.000237 -1.835050 -0.002299 2.204580
0.568891 1.117871 0.000564 0.041797 -0.000468 1.480053 0.005293 -0.683416 0.001306 -0.345522
0.582142 1.262024 0.000575 0.942980 0.000945 -0.976266 -0.000437 -3.518620 -0.000108 -7.182400
0.595702 2.094485 0.001157 -0.136673 0.000447 -1.778417 -0.013008 11.167800 0.022952 -10.353700
0.609577 1.394255 0.000966 -1.363756 -0.000873 -0.424648 0.001334 -2.509670 -0.010686 6.460460
0.623776 0.740741 0.000587 -0.511986 -0.000098 -0.860606 -0.005623 4.057670 0.012198 -6.025250
0.638306 2.235128 0.001277 0.687829 0.001268 -0.944674 0.001616 -7.748330 -0.017200 5.907420
