# s W_0 W_1 W_2 W_3 W_4
0.206538 0.999995 0.000156 -0.000002 -0.000000 0.000000
0.208930 0.999995 0.000158 -0.000002 -0.000000 0.000000
0.211349 0.999995 0.000160 -0.000002 -0.000000 0.000000
0.213796 0.999995 0.000162 -0.000002 -0.000000 0.000000
0.216272 0.999995 0.000164 -0.000002 -0.000000 0.000000
0.218776 0.999995 0.000166 -0.000002 -0.000000 0.000000
0.221309 0.999995 0.000167 -0.000002 -0.000000 0.000000
0.223872 0.999995 0.000169 -0.000002 -0.000000 0.000000
0.226464 0.999995 0.000171 -0.000002 -0.000000 0.000000
0.229087 0.999995 0.000173 -0.000002 -0.000000 0.000000
0.231739 0.999995 0.000175 -0.000002 -0.000000 0.000000
0.234423 0.999995 0.000177 -0.000002 -0.000000 0.000000
0.237137 0.999995 0.000179 -0.000002 -0.000000 0.000000
0.239883 0.999995 0.000181 -0.000002 -0.000000 0.000000
0.242661 0.999995 0.000184 -0.000002 -0.000000 0.000000
0.245471 0.999995 0.000186 -0.000002 -0.000000 0.000000
0.248313 0.999995 0.000188 -0.000002 -0.000000 0.000000
0.251189 0.999995 0.000190 -0.000002 -0.000000 0.000000
0.254097 0.999995 0.000192 -0.000002 -0.000000 0.000000
0.257040 0.999995 0.000194 -0.000002 -0.000000 0.000000
0.260016 0.999995 0.000197 -0.000002 -0.000000 0.000000
0.263027 0.999995 0.000199 -0.000002 -0.000000 0.000000
0.266073 0.999995 0.000201 -0.000003 -0.000000 0.000000
0.269153 0.999991 0.000204 -0.000003 -0.000000 0.000000
0.272270 0.999991 0.000206 -0.000003 -0.000000 0.000000
0.275423 0.999991 0.000208 -0.000003 -0.000000 0.000000
0.278612 0.999991 0.000211 -0.000003 -0.000000 0.000000
0.281838 0.999991 0.000213 -0.000003 -0.000000 0.000000
0.285102 0.999991 0.000216 -0.000003 -0.000000 0.000000
0.288403 0.999991 0.000218 -0.000003 -0.000000 0.000000
0.291743 0.999991 0.000221 -0.000003 -0.000000 0.000000
0.295121 0.999991 0.000223 -0.000003 -0.000000 0.000000
0.298538 0.999991 0.000226 -0.000003 -0.000000 0.000000
0.301995 0.999991 0.000228 -0.000003 -0.000000 0.000000
0.305492 0.999991 0.000231 -0.000003 -0.000000 0.000000
0.309030 0.999991 0.000234 -0.000003 -0.000000 0.000000
0.312608 0.999991 0.000236 -0.000004 -0.000000 0.000000
0.316228 0.999991 0.000239 -0.000004 -0.000000 0.000000
0.319890 0.999991 0.000242 -0.000004 -0.000000 0.000000
0.323594 0.999991 0.000245 -0.000004 -0.000000 0.000000
0.327341 0.999991 0.000248 -0.000004 -0.000000 0.000000
0.331131 0.999986 0.000251 -0.000004 -0.000000 0.000000
