# k P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.005902 74046.839827 26277.304751 33.272227 6459.212025 -4360.541195 27324.609152 -15623.255619 18504.116712 -1670.986538 11622.167208 
0.012832 68144.593188 10926.442611 783.936618 2177.581503 16611.211241 21496.275449 869.059336 7830.324462 1721.939832 18783.667135 
0.020509 64640.861735 6627.209652 1099.812146 1120.640637 22303.907952 14360.569502 1490.094739 4084.087840 3251.661206 16168.224830 
0.028341 55665.832675 4112.726263 1159.794668 678.249963 21581.863031 9632.626789 1463.768173 2269.665645 2433.883478 11323.598006 
0.036280 46022.690861 2703.049426 898.027950 424.168001 18297.757464 6135.068822 1091.145666 1421.096479 1442.428225 7785.984725 
0.044244 38499.033065 1882.084269 666.728205 295.352154 15277.607457 4334.874385 810.547616 964.922723 1041.250000 5443.465167 
0.052197 33401.148505 1398.845332 439.562692 222.604719 13101.184595 3308.212207 584.651183 693.093873 1040.873492 4212.563964 
0.060153 30099.909865 1093.944590 351.310689 178.527249 11627.769553 2589.474513 423.392506 555.418443 745.677648 3246.847094 
0.068134 27184.848995 871.623040 330.129885 137.083636 10349.559045 2121.747895 370.379896 440.324917 650.493348 2606.355189 
0.076134 24172.711425 742.564186 333.522887 109.496090 9094.278406 1740.102006 299.776457 351.439146 632.958739 2167.048832 
0.084117 21129.335954 582.155154 311.963123 93.308985 7910.965172 1389.298646 254.559856 280.358790 453.580712 1839.774188 
0.092104 18393.375643 491.262647 268.289904 75.993988 6945.122464 1126.115369 208.729672 239.443608 521.679024 1416.153129 
0.100104 16235.993275 410.445659 213.935898 63.750050 6119.384089 935.080334 171.315133 198.434129 499.513306 1205.516951 
0.108091 14710.172645 353.883680 163.595960 55.810664 5489.785860 791.845308 138.324837 162.184955 459.421290 1055.008489 
0.116091 13639.223834 324.348398 138.752124 49.466603 4989.538257 704.259782 121.982007 143.167394 426.602319 884.147264 
0.124085 12731.443312 284.086003 130.624801 43.363076 4525.343052 630.221301 113.226481 128.447591 421.952749 798.857289 
0.132068 11848.010592 245.978241 133.314374 39.656078 4131.245499 559.823422 92.110436 115.203323 432.694441 709.562925 
0.140071 10937.578569 232.147140 132.842501 34.487615 3777.538290 501.939767 77.288864 101.469064 396.847880 634.176438 
0.148075 10062.003173 201.829288 128.681231 30.678513 3474.870946 444.734565 68.089130 92.587201 363.180577 573.984531 
0.156073 9269.010386 186.308705 116.308544 27.697034 3230.724605 392.394178 62.137696 83.288054 375.269852 503.839315 
0.164063 8625.162910 162.576837 104.743291 25.349336 2983.427616 366.479171 58.709865 75.084541 328.719632 472.959115 
0.172055 8100.170026 153.797499 97.163129 23.706624 2732.585091 331.400998 52.273766 70.797594 334.043844 428.959350 
0.180056 7658.347719 140.288520 91.993641 21.645575 2526.517791 305.934803 48.676896 64.060175 349.292690 391.853647 
0.188055 7258.074400 131.306624 89.196438 19.650622 2331.895234 281.192988 46.746206 58.806357 347.870716 367.540952 
0.196051 6882.232154 121.187168 91.360432 18.924946 2138.700207 260.076586 34.338137 54.585444 333.983071 334.605144 
0.204053 6511.176578 114.817639 89.575816 17.583397 1991.546758 244.046389 30.951565 50.398041 293.600111 316.622966 
0.212048 6165.442656 104.802276 87.974628 16.757766 1854.282955 230.861565 30.412050 47.432766 286.587373 294.015560 
0.220046 5849.818579 102.020846 86.165109 15.395735 1735.587316 217.215162 27.062498 45.685679 290.656677 278.160198 
0.228044 5565.892495 93.051490 83.893188 14.775235 1616.370623 200.962133 24.190883 42.964215 275.222451 266.517526 
0.236043 5315.233039 89.590714 82.017004 13.932740 1495.003971 186.638211 25.026652 40.408981 268.285902 235.619907 
0.244041 5093.978100 84.989824 81.275280 12.821081 1380.554301 179.903948 20.199013 37.906476 271.384918 231.603191 
0.252042 4889.974805 81.261819 80.825667 12.571228 1275.703708 170.674786 18.417776 36.320358 262.294089 219.709444 
0.260040 4700.515769 78.042629 80.944048 11.995658 1176.592785 163.044453 17.640672 33.903203 252.429842 205.803536 
0.268036 4527.026646 72.913284 80.685449 11.382593 1084.925072 154.765535 15.079592 33.209246 264.682145 198.508783 
0.276036 4367.804965 74.396158 80.716636 11.190734 997.762796 150.082825 13.188413 31.673368 259.294182 194.127793 
0.284034 4226.006755 69.216537 80.762427 10.252057 922.647713 142.210400 10.193367 30.301893 267.170927 174.831232 
0.292035 4103.137348 68.272072 80.123691 9.702836 857.701927 134.795529 10.672291 28.223548 277.870219 171.620356 
