# k P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.005902 57893.042028 14247.625790 -683.989030 4472.515869 8791.857216 18651.623360 -2061.198351 13048.035816 1070.673728 8948.065898 
0.012832 67520.801317 7023.305712 417.297259 1483.784191 22390.252781 13966.466339 2025.761828 5562.248072 2661.016508 13446.832315 
0.020509 66238.468233 4215.465474 1067.172906 825.521570 25795.290648 9650.016498 1948.021379 2879.197554 2795.266481 10927.766904 
0.028341 57036.445752 2665.255306 1200.506768 490.261121 23376.178099 6107.516529 1386.918711 1666.299965 1761.800049 7230.081274 
0.036280 47037.570582 1714.153701 947.298892 322.518072 19671.520315 3958.483659 1026.471590 1006.180535 1463.555557 4964.928081 
0.044244 39223.600662 1230.111218 688.662978 219.864206 16365.823760 2820.173577 726.698170 689.996862 1351.036401 3645.923362 
0.052197 33990.294445 913.135337 449.941833 171.662013 13863.331821 2079.391171 537.083883 498.497101 997.426059 2645.877022 
0.060153 30636.038462 705.335013 354.914254 135.102423 12037.502612 1641.135422 395.519730 396.310590 948.455454 2086.508203 
0.068134 27665.268407 587.086116 336.975486 102.293579 10683.531866 1347.893982 317.548329 304.105252 794.940991 1745.723685 
0.076134 24627.628090 462.358178 335.431264 86.640365 9402.479747 1096.151242 259.955794 257.778433 734.431439 1390.485935 
0.084117 21519.219149 390.375877 323.889767 69.588013 8273.608385 871.226414 200.477349 208.389725 674.979352 1139.096874 
0.092104 18680.997659 316.209483 277.741354 57.174633 7256.498652 710.712568 171.555835 173.216527 564.044680 914.084610 
0.100104 16456.370772 268.941349 219.174669 48.606182 6422.488491 603.378514 141.778800 142.418374 581.235039 766.339560 
0.108091 14916.561794 227.094457 162.129866 41.554364 5741.888044 527.776761 126.127062 123.111738 542.673037 646.674947 
0.116091 13814.131412 202.899327 140.998827 37.128299 5173.127246 457.033888 106.529857 107.406356 512.371881 583.330443 
0.124085 12916.532236 177.419094 130.888509 33.344696 4667.653269 398.181487 91.909030 98.084536 489.051289 519.413610 
0.132068 12033.506474 159.591419 134.409433 29.014614 4251.653297 349.319089 71.668677 85.265638 443.921960 450.198423 
0.140071 11106.978409 144.037132 135.380530 25.697711 3903.665424 328.199017 62.953924 75.658148 421.894381 412.664696 
0.148075 10207.243710 127.824874 130.629024 23.786151 3591.823014 285.889546 50.232088 68.914048 398.420738 358.469437 
0.156073 9403.465153 116.761745 118.855870 20.499578 3328.052524 250.840862 45.647445 61.358151 383.093990 337.017447 
0.164063 8748.494045 108.939886 104.896016 18.885693 3069.819183 233.448983 46.770914 55.069469 369.281066 292.548158 
0.172055 8221.505119 98.388649 97.212307 17.481712 2827.730451 214.108782 42.107645 51.474906 352.982534 266.752821 
0.180056 7782.004002 90.868883 93.270424 16.615084 2593.646674 193.829739 34.295698 49.097158 339.694802 252.245049 
0.188055 7375.720712 84.099532 90.406142 15.068957 2397.207700 180.199714 33.351524 44.829063 324.232271 235.456368 
0.196051 6997.237931 79.360272 90.733625 14.177396 2201.712597 169.624283 27.714902 41.474914 326.042150 213.249759 
0.204053 6624.580219 76.101544 90.937498 13.488347 2043.747980 158.257461 22.003770 38.315365 310.609513 199.427701 
0.212048 6271.415667 68.711135 89.202969 12.515893 1911.359932 147.807911 18.999580 36.439743 300.734098 182.552630 
0.220046 5948.316232 65.377898 86.910987 11.837859 1781.236622 138.444531 16.803003 34.783212 278.080963 175.392269 
0.228044 5665.533920 60.547082 84.131367 11.146090 1660.187446 127.227111 15.860767 32.551464 261.353507 162.488791 
0.236043 5415.932863 58.171550 82.639703 10.284940 1537.421977 120.472302 15.023992 29.735874 255.020224 153.323042 
0.244041 5190.449017 54.699822 81.992726 9.885329 1418.929837 115.838518 12.422500 28.905076 237.204511 147.044317 
0.252042 4985.305271 52.438199 81.647284 9.404006 1305.889860 107.578836 10.640544 26.821899 227.424334 140.813719 
0.260040 4790.118334 49.998640 81.496350 8.705813 1206.624518 102.456926 8.623258 25.111411 217.402561 131.724718 
0.268036 4616.403591 48.353607 81.465191 8.402787 1113.836542 99.512607 5.544670 24.925136 203.058639 122.922194 
0.276036 4457.768894 45.170425 81.408202 8.125635 1034.124221 94.533038 4.152533 23.736949 187.457081 117.484865 
0.284034 4315.073041 43.543105 81.003492 8.019814 955.491713 89.844275 3.140464 22.875387 165.631021 116.666296 
0.292035 4193.794735 41.602141 80.688911 7.666183 877.354321 88.702305 1.849478 21.926919 152.064743 109.020432 
