# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
0.101165 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.103521 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.105932 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.108400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.110925 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.113509 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.116153 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.118858 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.121627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.124460 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.127359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.130325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.133361 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.136467 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.139646 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.142899 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.146227 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.149633 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.153119 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.156685 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.160335 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.164070 5.371342 0.000808 -6.756390 -0.000486 -6.094246 -0.015210 77.213500 0.037339 -87.630900
0.167892 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.171802 6.357926 0.000102 28.132525 0.001285 36.751443 0.015380 99.693200 0.028934 3.829850
0.175804 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.179899 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.184089 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.188377 3.134736 0.000425 0.846262 0.001260 -11.657903 -0.014078 23.001500 -0.003595 45.301200
0.192765 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.197255 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.201850 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.206552 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.211363 5.523024 0.000561 12.293410 0.004224 -12.469641 0.007343 -101.157000 -0.041373 4.896330
0.216286 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.221324 2.888768 0.000655 -3.383037 -0.000262 -3.954259 -0.013637 43.266200 0.030463 -44.080700
0.226479 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.231755 3.779358 0.000693 1.304626 0.002175 -14.217158 -0.022633 23.902600 -0.008954 58.863700
0.237153 3.115830 0.000573 -0.161200 0.001268 -10.738371 -0.019355 34.949400 0.005751 26.523200
0.242677 3.778192 0.000802 -1.311310 -0.000009 -2.719102 -0.000652 -11.616900 0.001090 -16.505300
0.248330 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.254114 3.201680 0.000499 2.783198 -0.000198 7.501645 0.014856 -25.284400 0.003150 -40.710700
0.260033 5.057100 0.000831 3.861573 0.001397 -4.090398 -0.015196 47.471100 0.018062 7.072880
0.266090 1.952807 0.000600 -3.830108 -0.001346 2.253805 0.001564 5.860890 0.011140 -22.973500
0.272288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.278631 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.285121 1.590017 0.000453 -3.906085 -0.001541 5.058131 0.010566 -20.972300 -0.015483 21.755300
0.291762 1.799451 0.000450 -2.660358 -0.000503 -0.884517 -0.005906 21.784400 0.019211 -31.887700
0.298558 1.881338 0.000690 -3.903535 -0.001730 2.988343 0.004789 -0.102548 0.006342 -14.993600
0.305512 2.436605 0.000517 -0.364070 0.000693 -5.536749 -0.010237 13.704800 0.007357 -5.091620
0.312629 0.887376 0.000288 -2.185440 -0.000982 2.847267 0.006788 -11.927100 -0.010073 12.566300
0.319911 0.759276 0.000202 -0.540660 0.000135 -1.847313 -0.005847 11.960900 0.007910 -5.016150
0.327362 0.835393 0.000028 3.554737 0.000349 4.109549 0.003918 7.050330 0.006545 -8.139310
0.334988 0.754911 0.000270 -1.862258 -0.000924 2.435827 0.006424 -10.271100 -0.009611 10.928800
0.342791 1.710590 0.000554 -3.104709 -0.001135 2.213021 0.004522 -8.900570 -0.010538 18.481800
0.350775 1.056021 0.000415 -2.472974 -0.001306 2.841869 0.007703 -9.501430 -0.008723 6.751440
0.358946 3.476265 0.000605 6.151072 -0.001435 19.267043 0.020284 38.566100 -0.009424 73.508900
0.367307 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.375862 0.360353 0.000029 1.311529 0.000309 0.768588 0.002615 -3.686490 0.002104 -9.207370
0.384617 1.135486 0.000380 -1.389386 -0.000219 -1.074591 -0.005856 12.175000 0.012276 -12.118600
0.393576 0.942569 0.000328 -0.663381 0.000008 -1.242958 -0.004069 4.936820 0.005634 -4.685210
0.402744 1.455120 0.000280 2.891318 0.000972 1.351411 0.009235 -15.305900 0.005340 -29.698400
0.412125 0.405750 0.000167 -0.796705 -0.000376 0.471636 0.000450 1.195150 0.003078 -4.747600
0.421724 0.719815 0.000243 -0.468788 0.000163 -1.602766 -0.006022 8.786700 0.006943 -2.989120
0.431548 0.571813 0.000150 0.497979 -0.000282 2.286665 0.004035 1.456730 0.000911 0.613003
0.441600 0.283479 0.000138 -0.703144 -0.000478 0.931817 0.003379 -4.014520 -0.005189 4.407560
0.451886 1.356353 0.000459 -0.197871 0.000063 -0.587966 -0.000606 -1.129280 0.006386 -13.240400
0.462412 1.770601 0.000747 -1.110955 -0.000108 -1.372191 -0.002115 -3.045250 -0.004601 3.180380
0.473183 1.098683 0.000500 -2.029358 -0.001036 1.101670 0.001733 0.971717 0.002423 -3.366910
0.484204 1.135524 0.000598 -1.434912 -0.001274 1.662259 0.008158 -8.251330 -0.004339 -3.974440
0.495483 1.294801 0.000600 -1.369313 -0.000411 -1.082940 -0.004062 4.695950 -0.000767 6.946910
0.507024 1.555604 0.000570 0.835928 0.000772 -1.545443 -0.007093 6.265200 0.003288 3.779020
0.518834 1.403108 0.000606 -0.727466 -0.000659 0.984914 0.002258 1.840170 0.001246 -1.471270
0.530920 1.437120 0.000521 0.729951 0.000110 0.688662 0.006525 -9.214590 -0.005059 -3.532240
0.543286 1.697377 0.000649 -0.049327 0.000497 -2.061876 -0.005269 1.684550 0.001454 -0.867573
0.555941 0.615484 0.000197 0.681994 0.000286 0.043963 -0.000029 0.683743 -0.007458 11.996300
0.568891 1.067088 0.000355 1.171221 0.000447 0.678270 -0.000132 3.629010 0.008599 -8.043590
0.582142 1.268509 0.000587 0.081656 0.000905 -2.309314 -0.009160 3.214180 -0.001036 3.329660
0.595702 1.157422 0.000590 -0.575524 -0.000177 -0.349579 -0.004721 6.502640 0.009886 -4.002320
0.609577 0.730339 0.000277 0.645501 0.000403 -0.063222 -0.000184 0.087582 0.002304 -3.122870
0.623776 0.970410 0.000434 0.028271 -0.000138 0.395749 -0.002791 7.986390 0.003066 6.816510
0.638306 1.260635 0.000733 -1.249405 -0.000991 0.663577 0.004827 -4.422730 -0.001565 -4.390300
0.653174 0.882281 0.000491 -0.416041 -0.000209 -0.414809 -0.000067 -1.316670 -0.003384 2.469840
