# s W_0 W_1 W_2 W_3 W_4
0.312608 0.999986 0.000234 -0.000001 -0.000000 0.000000
0.316228 0.999985 0.000237 -0.000001 -0.000000 0.000000
0.319890 0.999985 0.000240 -0.000001 -0.000000 0.000000
0.323594 0.999985 0.000243 -0.000001 -0.000000 0.000000
0.327341 0.999984 0.000245 -0.000001 -0.000000 0.000000
0.331131 0.999984 0.000248 -0.000001 -0.000000 0.000000
0.334965 0.999984 0.000251 -0.000001 -0.000000 0.000000
0.338844 0.999983 0.000254 -0.000001 -0.000000 0.000000
0.342768 0.999983 0.000257 -0.000001 -0.000000 0.000000
0.346737 0.999983 0.000260 -0.000001 -0.000000 0.000000
0.350752 0.999982 0.000263 -0.000001 -0.000000 0.000000
0.354813 0.999982 0.000266 -0.000001 -0.000000 0.000000
0.358922 0.999982 0.000269 -0.000001 -0.000000 0.000000
0.363078 0.999980 0.000272 -0.000001 -0.000000 0.000000
0.367282 0.999980 0.000275 -0.000001 -0.000000 0.000000
0.371535 0.999980 0.000279 -0.000001 -0.000000 0.000000
0.375837 0.999979 0.000282 -0.000001 -0.000000 0.000000
0.380189 0.999979 0.000285 -0.000001 -0.000000 0.000000
0.384592 0.999978 0.000288 -0.000001 -0.000000 0.000000
0.389045 0.999978 0.000292 -0.000001 -0.000000 0.000000
0.393550 0.999977 0.000295 -0.000001 -0.000000 0.000000
0.398107 0.999977 0.000298 -0.000001 -0.000000 0.000000
0.402717 0.999975 0.000302 -0.000001 -0.000000 0.000000
0.407380 0.999975 0.000305 -0.000001 -0.000000 0.000000
0.412098 0.999975 0.000309 -0.000001 -0.000000 0.000000
0.416869 0.999974 0.000313 -0.000001 -0.000000 0.000000
0.421697 0.999974 0.000316 -0.000001 -0.000000 0.000000
0.426580 0.999973 0.000320 -0.000001 -0.000000 0.000000
0.431519 0.999972 0.000323 -0.000001 -0.000000 0.000000
0.436516 0.999972 0.000327 -0.000001 -0.000000 0.000000
0.441570 0.999970 0.000331 -0.000001 -0.000000 0.000000
0.446684 0.999970 0.000335 -0.000001 -0.000000 0.000000
0.451856 0.999969 0.000339 -0.000001 -0.000000 0.000000
0.457088 0.999969 0.000343 -0.000002 -0.000000 0.000000
0.462381 0.999968 0.000347 -0.000002 -0.000000 0.000000
0.467735 0.999967 0.000351 -0.000002 -0.000000 0.000000
0.473151 0.999967 0.000355 -0.000002 -0.000000 0.000000
0.478630 0.999966 0.000359 -0.000002 -0.000000 0.000000
0.484172 0.999964 0.000363 -0.000002 -0.000000 0.000000
0.489779 0.999964 0.000367 -0.000002 -0.000000 0.000000
0.495450 0.999963 0.000371 -0.000002 -0.000000 0.000000
0.501187 0.999962 0.000376 -0.000002 -0.000000 0.000000
0.506991 0.999962 0.000380 -0.000002 -0.000000 0.000000
0.512861 0.999961 0.000384 -0.000002 -0.000000 0.000000
0.518800 0.999959 0.000389 -0.000002 -0.000000 0.000000
0.524807 0.999958 0.000393 -0.000002 -0.000000 0.000000
0.530884 0.999957 0.000398 -0.000002 -0.000000 0.000000
0.537032 0.999957 0.000403 -0.000002 -0.000000 0.000000
0.543250 0.999956 0.000407 -0.000002 -0.000000 0.000000
0.549541 0.999954 0.000412 -0.000002 -0.000000 0.000000
0.555904 0.999953 0.000417 -0.000002 -0.000000 0.000000
0.562341 0.999952 0.000422 -0.000002 -0.000000 0.000000
0.568853 0.999951 0.000426 -0.000002 -0.000000 0.000000
0.575440 0.999949 0.000431 -0.000002 -0.000000 0.000000
0.582103 0.999948 0.000436 -0.000002 -0.000000 0.000000
0.588844 0.999947 0.000441 -0.000003 -0.000000 0.000000
0.595662 0.999946 0.000447 -0.000003 -0.000000 0.000000
0.602560 0.999945 0.000452 -0.000003 -0.000000 0.000000
0.609537 0.999943 0.000457 -0.000003 -0.000000 0.000000
0.616595 0.999942 0.000462 -0.000003 -0.000000 0.000000
0.623735 0.999941 0.000468 -0.000003 -0.000000 0.000000
0.630957 0.999940 0.000473 -0.000003 -0.000000 0.000000
0.638263 0.999938 0.000478 -0.000003 -0.000000 0.000000
0.645654 0.999937 0.000484 -0.000003 -0.000000 0.000000
0.653131 0.999935 0.000490 -0.000003 -0.000000 0.000000
0.660693 0.999933 0.000495 -0.000003 -0.000000 0.000000
0.668344 0.999932 0.000501 -0.000003 -0.000000 0.000000
0.676083 0.999930 0.000507 -0.000003 -0.000000 0.000000
0.683912 0.999929 0.000513 -0.000003 -0.000000 0.000000
0.691831 0.999927 0.000519 -0.000003 -0.000000 0.000000
0.699842 0.999925 0.000525 -0.000004 -0.000000 0.000000
0.707946 0.999924 0.000531 -0.000004 -0.000000 0.000000
0.716143 0.999921 0.000537 -0.000004 -0.000000 0.000000
0.724436 0.999920 0.000543 -0.000004 -0.000000 0.000000
0.732825 0.999917 0.000549 -0.000004 -0.000000 0.000000
0.741310 0.999916 0.000556 -0.000004 -0.000000 0.000000
0.749894 0.999914 0.000562 -0.000004 -0.000000 0.000000
0.758578 0.999913 0.000569 -0.000004 -0.000000 0.000000
0.767361 0.999910 0.000575 -0.000004 -0.000000 0.000000
0.776247 0.999908 0.000582 -0.000004 -0.000000 0.000000
0.785236 0.999905 0.000589 -0.000004 -0.000000 0.000000
0.794328 0.999904 0.000595 -0.000005 -0.000000 0.000000
0.803526 0.999901 0.000602 -0.000005 -0.000000 0.000000
0.812831 0.999899 0.000609 -0.000005 -0.000000 0.000000
0.822243 0.999897 0.000616 -0.000005 -0.000000 0.000000
0.831764 0.999894 0.000623 -0.000005 -0.000000 0.000000
0.841395 0.999892 0.000631 -0.000005 -0.000000 0.000000
0.851138 0.999889 0.000638 -0.000005 -0.000000 0.000000
0.860994 0.999887 0.000645 -0.000005 -0.000000 0.000000
0.870964 0.999884 0.000653 -0.000005 -0.000000 0.000000
0.881049 0.999880 0.000660 -0.000006 -0.000000 0.000000
0.891251 0.999878 0.000668 -0.000006 -0.000000 0.000000
0.901571 0.999876 0.000676 -0.000006 -0.000000 0.000000
0.912011 0.999872 0.000684 -0.000006 -0.000000 0.000000
0.922571 0.999869 0.000692 -0.000006 -0.000000 0.000000
0.933254 0.999867 0.000700 -0.000006 -0.000000 0.000000
0.944061 0.999863 0.000708 -0.000006 -0.000000 0.000000
0.954993 0.999860 0.000716 -0.000007 -0.000000 0.000000
0.966051 0.999857 0.000724 -0.000007 -0.000000 0.000000
0.977237 0.999853 0.000733 -0.000007 -0.000000 0.000000
0.988553 0.999850 0.000741 -0.000007 -0.000000 0.000000
1.000000 0.999846 0.000750 -0.000007 -0.000000 0.000000
1.011580 0.999842 0.000758 -0.000007 -0.000000 0.000000
1.023290 0.999839 0.000767 -0.000008 -0.000000 0.000000
1.035140 0.999835 0.000776 -0.000008 -0.000000 0.000000
1.047130 0.999831 0.000785 -0.000008 -0.000000 0.000000
1.059250 0.999828 0.000794 -0.000008 -0.000000 0.000000
1.071520 0.999824 0.000803 -0.000008 -0.000000 0.000000
1.083930 0.999819 0.000812 -0.000009 -0.000000 0.000000
1.096480 0.999815 0.000822 -0.000009 -0.000000 0.000000
1.109170 0.999810 0.000831 -0.000009 -0.000000 0.000000
1.122020 0.999807 0.000841 -0.000009 -0.000000 0.000000
1.135010 0.999802 0.000851 -0.000009 -0.000000 0.000000
1.148150 0.999797 0.000861 -0.000010 -0.000000 0.000000
1.161450 0.999793 0.000871 -0.000010 -0.000000 0.000000
1.174900 0.999788 0.000881 -0.000010 -0.000000 0.000000
1.188500 0.999783 0.000891 -0.000010 -0.000000 0.000000
1.202260 0.999777 0.000901 -0.000010 -0.000000 0.000000
1.216190 0.999772 0.000912 -0.000011 -0.000000 0.000000
1.230270 0.999767 0.000922 -0.000011 -0.000000 0.000000
1.244510 0.999762 0.000933 -0.000011 -0.000000 0.000000
1.258930 0.999756 0.000944 -0.000011 -0.000000 0.000000
1.273500 0.999750 0.000955 -0.000012 -0.000000 0.000000
1.288250 0.999745 0.000966 -0.000012 -0.000000 0.000000
1.303170 0.999739 0.000977 -0.000012 -0.000000 0.000000
1.318260 0.999733 0.000988 -0.000013 -0.000000 0.000000
1.333520 0.999726 0.000999 -0.000013 -0.000000 0.000000
1.348960 0.999720 0.001011 -0.000013 -0.000000 0.000000
1.364580 0.999713 0.001023 -0.000013 -0.000000 0.000000
1.380380 0.999707 0.001035 -0.000014 -0.000000 0.000000
1.396370 0.999699 0.001047 -0.000014 -0.000000 0.000000
1.412540 0.999693 0.001059 -0.000014 -0.000000 0.000000
1.428890 0.999686 0.001071 -0.000015 -0.000000 0.000000
1.445440 0.999678 0.001083 -0.000015 -0.000000 0.000000
1.462180 0.999671 0.001096 -0.000015 -0.000000 0.000000
1.479110 0.999664 0.001109 -0.000016 -0.000000 0.000000
1.496240 0.999655 0.001121 -0.000016 -0.000000 0.000000
1.513560 0.999648 0.001134 -0.000017 -0.000000 0.000000
1.531090 0.999639 0.001147 -0.000017 -0.000000 0.000000
1.548820 0.999630 0.001161 -0.000017 -0.000000 0.000000
1.566750 0.999622 0.001174 -0.000018 -0.000000 0.000000
1.584890 0.999613 0.001188 -0.000018 -0.000000 0.000000
1.603250 0.999605 0.001202 -0.000019 -0.000000 0.000000
1.621810 0.999595 0.001215 -0.000019 -0.000000 0.000000
1.640590 0.999586 0.001230 -0.000020 -0.000000 0.000000
1.659590 0.999576 0.001244 -0.000020 -0.000000 0.000000
1.678800 0.999566 0.001258 -0.000020 -0.000000 0.000000
1.698240 0.999555 0.001273 -0.000021 -0.000000 0.000000
1.717910 0.999545 0.001287 -0.000021 -0.000000 0.000000
1.737800 0.999534 0.001302 -0.000022 -0.000000 0.000000
1.757920 0.999524 0.001317 -0.000022 -0.000000 0.000001
1.778280 0.999513 0.001333 -0.000023 -0.000000 0.000001
1.798870 0.999501 0.001348 -0.000023 -0.000000 0.000001
1.819700 0.999490 0.001364 -0.000024 -0.000000 0.000001
1.840770 0.999478 0.001379 -0.000025 -0.000000 0.000001
1.862090 0.999467 0.001395 -0.000025 -0.000000 0.000001
1.883650 0.999454 0.001412 -0.000026 -0.000000 0.000001
1.905460 0.999441 0.001428 -0.000026 -0.000000 0.000001
1.927520 0.999428 0.001444 -0.000027 -0.000000 0.000001
1.949840 0.999415 0.001461 -0.000028 -0.000000 0.000001
1.972420 0.999401 0.001478 -0.000028 -0.000000 0.000001
1.995260 0.999386 0.001495 -0.000029 -0.000000 0.000001
2.018370 0.999373 0.001512 -0.000030 -0.000000 0.000001
2.041740 0.999358 0.001530 -0.000030 -0.000000 0.000001
2.065380 0.999343 0.001548 -0.000031 -0.000000 0.000001
2.089300 0.999329 0.001565 -0.000032 -0.000000 0.000001
2.113490 0.999313 0.001584 -0.000032 -0.000000 0.000001
2.137960 0.999297 0.001602 -0.000033 -0.000000 0.000001
2.162720 0.999280 0.001620 -0.000034 -0.000000 0.000001
2.187760 0.999263 0.001639 -0.000035 -0.000000 0.000001
2.213090 0.999246 0.001658 -0.000036 -0.000000 0.000001
2.238720 0.999229 0.001677 -0.000036 -0.000000 0.000001
2.264640 0.999212 0.001697 -0.000037 -0.000000 0.000001
2.290870 0.999193 0.001716 -0.000038 -0.000000 0.000001
2.317390 0.999173 0.001736 -0.000039 -0.000000 0.000002
2.344230 0.999155 0.001756 -0.000040 -0.000000 0.000002
2.371370 0.999135 0.001777 -0.000041 -0.000000 0.000002
2.398830 0.999115 0.001797 -0.000042 -0.000000 0.000002
2.426610 0.999094 0.001818 -0.000043 -0.000000 0.000002
2.454710 0.999074 0.001839 -0.000044 -0.000000 0.000002
2.483130 0.999053 0.001860 -0.000045 -0.000000 0.000002
2.511890 0.999030 0.001882 -0.000046 -0.000000 0.000002
2.540970 0.999007 0.001903 -0.000047 -0.000000 0.000002
2.570400 0.998985 0.001925 -0.000048 -0.000000 0.000002
2.600160 0.998961 0.001948 -0.000049 -0.000000 0.000002
2.630270 0.998937 0.001970 -0.000050 -0.000000 0.000003
2.660730 0.998912 0.001993 -0.000052 -0.000000 0.000003
2.691530 0.998887 0.002016 -0.000053 -0.000000 0.000003
2.722700 0.998862 0.002039 -0.000054 -0.000000 0.000003
2.754230 0.998835 0.002063 -0.000055 -0.000000 0.000003
2.786120 0.998809 0.002087 -0.000057 -0.000000 0.000003
2.818380 0.998780 0.002111 -0.000058 -0.000000 0.000003
2.851020 0.998752 0.002135 -0.000059 -0.000000 0.000004
