# k P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.005902 61863.016598 26277.304751 -5754.754682 6459.212025 -9647.205899 27324.609152 -11210.963813 18504.116712 4034.334106 11622.167208 
0.012832 69087.989732 10926.442611 690.610680 2177.581503 9211.624513 21496.275449 -2785.782370 7830.324462 -402.057432 18783.667135 
0.020509 66212.865664 6627.209652 1522.803268 1120.640637 18156.068988 14360.569502 1323.946735 4084.087840 -846.163897 16168.224830 
0.028341 57158.852276 4112.726263 1715.258707 678.249963 18787.773082 9632.626789 1516.220375 2269.665645 36.510662 11323.598006 
0.036280 47697.093846 2703.049426 1389.457862 424.168001 16633.030823 6135.068822 1337.728667 1421.096479 -193.826373 7785.984725 
0.044244 39866.341268 1882.084269 1045.561770 295.352154 14194.771563 4334.874385 1049.173593 964.922723 -25.357957 5443.465167 
0.052197 34548.796107 1398.845332 696.816277 222.604719 12367.454164 3308.212207 735.406703 693.093873 393.525313 4212.563964 
0.060153 31120.626718 1093.944590 543.088869 178.527249 11197.646651 2589.474513 629.712310 555.418443 323.787329 3246.847094 
0.068134 27992.443229 871.623040 528.366499 137.083636 10027.646666 2121.747895 533.862947 440.324917 523.417692 2606.355189 
0.076134 24868.075559 742.564186 508.418616 109.496090 8782.547836 1740.102006 430.996362 351.439146 484.643494 2167.048832 
0.084117 21733.601884 582.155154 483.582634 93.308985 7673.387261 1389.298646 367.307143 280.358790 383.273007 1839.774188 
0.092104 18899.334895 491.262647 413.967603 75.993988 6672.574313 1126.115369 295.365188 239.443608 396.250192 1416.153129 
0.100104 16664.466209 410.445659 325.850285 63.750050 5932.428906 935.080334 250.317323 198.434129 411.827634 1205.516951 
0.108091 15054.760634 353.883680 248.556942 55.810664 5290.147497 791.845308 205.336235 162.184955 421.318589 1055.008489 
0.116091 13889.129127 324.348398 211.870098 49.466603 4797.334522 704.259782 177.025726 143.167394 425.595621 884.147264 
0.124085 12926.866848 284.086003 197.556769 43.363076 4382.301277 630.221301 155.035545 128.447591 415.492553 798.857289 
0.132068 11987.712810 245.978241 195.709935 39.656078 3978.924286 559.823422 133.497250 115.203323 420.778828 709.562925 
0.140071 11043.204624 232.147140 192.941750 34.487615 3626.818954 501.939767 122.870837 101.469064 405.766456 634.176438 
0.148075 10139.799654 201.829288 183.933364 30.678513 3359.517756 444.734565 97.632610 92.587201 386.916618 573.984531 
0.156073 9327.636907 186.308705 165.406350 27.697034 3090.884438 392.394178 93.560251 83.288054 375.704162 503.839315 
0.164063 8656.449823 162.576837 148.286233 25.349336 2835.332600 366.479171 82.854810 75.084541 351.325034 472.959115 
0.172055 8098.869230 153.797499 134.825238 23.706624 2609.199599 331.400998 77.985481 70.797594 336.981244 428.959350 
0.180056 7633.423111 140.288520 124.392309 21.645575 2395.139078 305.934803 71.074671 64.060175 339.789888 391.853647 
0.188055 7207.877684 131.306624 122.358522 19.650622 2177.880822 281.192988 65.844971 58.806357 314.296099 367.540952 
0.196051 6808.035194 121.187168 119.821401 18.924946 1990.838374 260.076586 52.822974 54.585444 293.446218 334.605144 
0.204053 6417.899321 114.817639 118.309114 17.583397 1830.854647 244.046389 50.089072 50.398041 284.010121 316.622966 
0.212048 6054.813406 104.802276 114.422175 16.757766 1703.121090 230.861565 38.326810 47.432766 273.157845 294.015560 
0.220046 5728.014590 102.020846 110.235752 15.395735 1590.899043 217.215162 41.456300 45.685679 277.246925 278.160198 
0.228044 5431.807430 93.051490 105.379894 14.775235 1460.038249 200.962133 35.822299 42.964215 255.828479 266.517526 
0.236043 5171.135300 89.590714 101.777031 13.932740 1338.049276 186.638211 37.814880 40.408981 247.202373 235.619907 
0.244041 4925.404796 84.989824 101.766247 12.821081 1230.110675 179.903948 27.511524 37.906476 253.783825 231.603191 
0.252042 4707.463478 81.261819 97.657521 12.571228 1125.797881 170.674786 30.000101 36.320358 242.842806 219.709444 
0.260040 4503.596232 78.042629 97.837302 11.995658 1020.050148 163.044453 22.492045 33.903203 224.909742 205.803536 
0.268036 4313.957595 72.913284 95.799724 11.382593 930.914298 154.765535 23.239041 33.209246 231.420953 198.508783 
0.276036 4140.255833 74.396158 94.967174 11.190734 850.485266 150.082825 18.469910 31.673368 234.803162 194.127793 
0.284034 3982.411133 69.216537 93.912125 10.252057 777.114714 142.210400 16.944399 30.301893 233.682039 174.831232 
0.292035 3841.033748 68.272072 92.260822 9.702836 703.335938 134.795529 14.763494 28.223548 235.064559 171.620356 
