# s W_0 W_1 W_2 W_3 W_4
0.100000 1.000000 0.000101 0.000000 0.000000 0.000000
0.101158 1.000000 0.000102 0.000000 0.000000 0.000000
0.102329 1.000000 0.000103 0.000000 0.000000 0.000000
0.103514 1.000000 0.000105 0.000000 0.000000 0.000000
0.104713 1.000000 0.000106 0.000000 0.000000 0.000000
0.105925 1.000000 0.000107 0.000000 0.000000 0.000000
0.107152 1.000000 0.000108 0.000000 0.000000 0.000000
0.108393 1.000000 0.000110 0.000000 0.000000 0.000000
0.109648 1.000000 0.000111 0.000000 0.000000 0.000000
0.110917 1.000000 0.000112 0.000000 0.000000 0.000000
0.112202 1.000000 0.000113 0.000000 0.000000 0.000000
0.113501 1.000000 0.000115 0.000000 0.000000 0.000000
0.114815 1.000000 0.000116 0.000000 0.000000 0.000000
0.116145 1.000000 0.000117 0.000000 0.000000 0.000000
0.117490 0.999999 0.000119 0.000000 0.000000 0.000000
0.118850 0.999999 0.000120 0.000000 0.000000 0.000000
0.120226 0.999999 0.000122 0.000000 0.000000 0.000000
0.121619 0.999999 0.000123 0.000000 0.000000 0.000000
0.123027 0.999999 0.000124 0.000000 0.000000 0.000000
0.124451 0.999999 0.000126 0.000000 0.000000 0.000000
0.125893 0.999999 0.000127 0.000000 0.000000 0.000000
0.127350 0.999999 0.000129 0.000000 0.000000 0.000000
0.128825 0.999999 0.000130 0.000000 0.000000 0.000000
0.130317 0.999999 0.000132 0.000000 0.000000 0.000000
0.131826 0.999999 0.000133 0.000000 0.000000 0.000000
0.133352 0.999999 0.000135 0.000000 0.000000 0.000000
0.134896 0.999999 0.000136 0.000000 0.000000 0.000000
0.136458 0.999999 0.000138 0.000000 0.000000 0.000000
0.138038 0.999999 0.000140 0.000000 0.000000 0.000000
0.139637 0.999999 0.000141 0.000000 0.000000 0.000000
0.141254 0.999999 0.000143 0.000000 0.000000 0.000000
0.142889 0.999999 0.000145 0.000000 0.000000 0.000000
0.144544 0.999999 0.000146 0.000000 0.000000 0.000000
0.146218 0.999999 0.000148 0.000000 0.000000 0.000000
0.147911 0.999999 0.000150 0.000000 0.000000 0.000000
0.149624 0.999997 0.000151 0.000000 0.000000 0.000000
0.151356 0.999997 0.000153 0.000000 0.000000 0.000000
0.153109 0.999997 0.000155 0.000000 0.000000 0.000000
0.154882 0.999997 0.000157 0.000000 0.000000 0.000000
0.156675 0.999997 0.000158 0.000000 0.000000 0.000000
0.158489 0.999997 0.000160 0.000000 0.000000 0.000000
0.160325 0.999997 0.000162 0.000000 0.000000 0.000000
0.162181 0.999997 0.000164 0.000000 0.000000 0.000000
0.164059 0.999997 0.000166 0.000000 0.000000 0.000000
0.165959 0.999997 0.000168 0.000000 0.000000 0.000000
0.167880 0.999997 0.000170 0.000000 0.000000 0.000000
0.169824 0.999997 0.000172 0.000000 0.000000 0.000000
0.171791 0.999997 0.000174 0.000000 0.000000 0.000000
0.173780 0.999997 0.000176 0.000000 0.000000 0.000000
0.175792 0.999996 0.000178 0.000000 0.000000 0.000000
0.177828 0.999996 0.000180 0.000000 0.000000 0.000000
0.179887 0.999996 0.000182 0.000001 0.000000 0.000000
0.181970 0.999996 0.000184 0.000001 0.000000 0.000000
0.184077 0.999996 0.000186 0.000001 0.000000 0.000000
0.186209 0.999996 0.000188 0.000001 0.000000 0.000000
0.188365 0.999996 0.000191 0.000001 0.000000 0.000000
0.190546 0.999996 0.000193 0.000001 0.000000 0.000000
0.192752 0.999996 0.000195 0.000001 0.000000 0.000000
0.194984 0.999996 0.000197 0.000001 0.000000 0.000000
0.197242 0.999996 0.000199 0.000001 0.000000 0.000000
0.199526 0.999994 0.000202 0.000001 0.000000 0.000000
0.201837 0.999994 0.000204 0.000001 0.000000 0.000000
0.204174 0.999994 0.000207 0.000001 0.000000 0.000000
0.206538 0.999994 0.000209 0.000001 0.000000 0.000000
0.208930 0.999994 0.000211 0.000001 0.000000 0.000000
0.211349 0.999994 0.000214 0.000001 0.000000 0.000000
0.213796 0.999994 0.000216 0.000001 0.000000 0.000000
0.216272 0.999994 0.000219 0.000001 0.000000 0.000000
0.218776 0.999993 0.000221 0.000001 0.000000 0.000000
0.221309 0.999993 0.000224 0.000001 0.000000 0.000000
0.223872 0.999993 0.000226 0.000001 0.000000 0.000000
0.226464 0.999993 0.000229 0.000001 0.000000 0.000000
0.229087 0.999993 0.000232 0.000001 0.000000 0.000000
0.231739 0.999993 0.000234 0.000001 0.000000 0.000000
0.234423 0.999993 0.000237 0.000001 0.000000 0.000000
0.237137 0.999993 0.000240 0.000001 0.000000 0.000000
0.239883 0.999992 0.000243 0.000001 0.000000 0.000000
0.242661 0.999992 0.000245 0.000001 0.000000 0.000000
0.245471 0.999992 0.000248 0.000001 0.000000 0.000000
0.248313 0.999992 0.000251 0.000001 0.000000 0.000000
0.251189 0.999992 0.000254 0.000001 0.000000 0.000000
0.254097 0.999992 0.000257 0.000001 0.000000 0.000000
0.257040 0.999990 0.000260 0.000001 0.000000 0.000000
0.260016 0.999990 0.000263 0.000001 0.000000 0.000000
0.263027 0.999990 0.000266 0.000001 0.000000 0.000000
0.266073 0.999990 0.000269 0.000001 0.000000 0.000000
0.269153 0.999990 0.000272 0.000001 0.000000 0.000000
0.272270 0.999989 0.000275 0.000001 0.000000 0.000000
0.275423 0.999989 0.000279 0.000001 0.000000 0.000000
0.278612 0.999989 0.000282 0.000001 0.000000 0.000000
0.281838 0.999989 0.000285 0.000001 0.000000 0.000000
0.285102 0.999989 0.000288 0.000001 0.000000 0.000000
0.288403 0.999987 0.000292 0.000001 0.000000 0.000000
0.291743 0.999987 0.000295 0.000001 0.000000 0.000000
0.295121 0.999987 0.000298 0.000001 0.000000 0.000000
0.298538 0.999987 0.000302 0.000001 0.000000 0.000000
0.301995 0.999986 0.000305 0.000001 0.000000 0.000000
0.305492 0.999986 0.000309 0.000001 0.000000 0.000000
0.309030 0.999986 0.000313 0.000001 0.000000 0.000000
0.312608 0.999986 0.000316 0.000002 0.000000 0.000000
0.316228 0.999984 0.000320 0.000002 0.000000 0.000000
0.319890 0.999984 0.000324 0.000002 0.000000 0.000000
0.323594 0.999984 0.000327 0.000002 0.000000 0.000000
0.327341 0.999984 0.000331 0.000002 0.000000 0.000000
0.331131 0.999983 0.000335 0.000002 0.000000 0.000000
0.334965 0.999983 0.000339 0.000002 0.000000 0.000000
0.338844 0.999983 0.000343 0.000002 0.000000 0.000000
0.342768 0.999982 0.000347 0.000002 0.000000 0.000000
0.346737 0.999982 0.000351 0.000002 0.000000 0.000000
0.350752 0.999982 0.000355 0.000002 0.000000 0.000000
0.354813 0.999980 0.000359 0.000002 0.000000 0.000000
0.358922 0.999980 0.000363 0.000002 0.000000 0.000000
0.363078 0.999980 0.000367 0.000002 0.000000 0.000000
0.367282 0.999979 0.000371 0.000002 0.000000 0.000000
0.371535 0.999979 0.000376 0.000002 0.000000 0.000000
0.375837 0.999979 0.000380 0.000002 0.000000 0.000000
0.380189 0.999977 0.000385 0.000002 0.000000 0.000000
0.384592 0.999977 0.000389 0.000002 0.000000 0.000000
0.389045 0.999976 0.000393 0.000002 0.000000 0.000000
0.393550 0.999976 0.000398 0.000002 0.000000 0.000000
0.398107 0.999976 0.000403 0.000002 0.000000 0.000000
0.402717 0.999975 0.000407 0.000003 0.000000 0.000000
0.407380 0.999975 0.000412 0.000003 0.000000 0.000000
0.412098 0.999973 0.000417 0.000003 0.000000 0.000000
0.416869 0.999973 0.000422 0.000003 0.000000 0.000000
0.421697 0.999972 0.000426 0.000003 0.000000 0.000000
0.426580 0.999972 0.000431 0.000003 0.000000 0.000000
0.431519 0.999970 0.000436 0.000003 0.000000 0.000000
0.436516 0.999970 0.000441 0.000003 0.000000 0.000000
0.441570 0.999969 0.000447 0.000003 0.000000 0.000000
0.446684 0.999969 0.000452 0.000003 0.000000 0.000000
0.451856 0.999967 0.000457 0.000003 0.000000 0.000000
0.457088 0.999967 0.000462 0.000003 0.000000 0.000000
0.462381 0.999966 0.000468 0.000003 0.000000 0.000000
0.467735 0.999966 0.000473 0.000003 0.000000 0.000000
0.473151 0.999965 0.000479 0.000004 0.000000 0.000000
0.478630 0.999963 0.000484 0.000004 0.000000 0.000000
0.484172 0.999963 0.000490 0.000004 0.000000 0.000000
0.489779 0.999962 0.000495 0.000004 0.000000 0.000000
0.495450 0.999960 0.000501 0.000004 0.000000 0.000000
0.501187 0.999960 0.000507 0.000004 0.000000 0.000000
0.506991 0.999959 0.000513 0.000004 0.000000 0.000000
0.512861 0.999958 0.000519 0.000004 0.000000 0.000000
0.518800 0.999958 0.000525 0.000004 0.000000 0.000000
0.524807 0.999956 0.000531 0.000004 0.000000 0.000000
0.530884 0.999955 0.000537 0.000004 0.000000 0.000000
0.537032 0.999953 0.000543 0.000005 0.000000 0.000000
0.543250 0.999953 0.000549 0.000005 0.000000 0.000000
0.549541 0.999952 0.000556 0.000005 0.000000 0.000000
0.555904 0.999950 0.000562 0.000005 0.000000 0.000000
0.562341 0.999949 0.000569 0.000005 0.000000 0.000000
0.568853 0.999948 0.000575 0.000005 0.000000 0.000000
0.575440 0.999946 0.000582 0.000005 0.000000 0.000000
0.582103 0.999945 0.000589 0.000005 0.000000 0.000000
0.588844 0.999945 0.000596 0.000005 0.000000 0.000000
0.595662 0.999943 0.000602 0.000006 0.000000 0.000000
0.602560 0.999942 0.000609 0.000006 0.000000 0.000000
0.609537 0.999941 0.000616 0.000006 0.000000 0.000000
0.616595 0.999939 0.000624 0.000006 0.000000 0.000000
0.623735 0.999938 0.000631 0.000006 0.000000 0.000000
0.630957 0.999936 0.000638 0.000006 0.000000 0.000000
0.638263 0.999933 0.000646 0.000006 0.000000 0.000000
0.645654 0.999932 0.000653 0.000007 0.000000 0.000000
0.653131 0.999931 0.000661 0.000007 0.000000 0.000000
0.660693 0.999929 0.000668 0.000007 0.000000 0.000000
0.668344 0.999928 0.000676 0.000007 0.000000 0.000000
0.676083 0.999926 0.000684 0.000007 0.000000 0.000000
0.683912 0.999924 0.000692 0.000007 0.000000 0.000000
0.691831 0.999922 0.000700 0.000007 0.000000 0.000000
0.699842 0.999921 0.000708 0.000008 0.000000 0.000000
0.707946 0.999919 0.000716 0.000008 0.000000 0.000000
0.716143 0.999917 0.000724 0.000008 0.000000 0.000000
0.724436 0.999915 0.000733 0.000008 0.000000 0.000000
0.732825 0.999912 0.000741 0.000008 0.000000 0.000000
0.741310 0.999911 0.000750 0.000009 0.000000 0.000000
0.749894 0.999908 0.000758 0.000009 0.000000 0.000000
0.758578 0.999907 0.000767 0.000009 0.000000 0.000000
0.767361 0.999904 0.000776 0.000009 0.000000 0.000000
0.776247 0.999902 0.000785 0.000009 0.000000 0.000000
0.785236 0.999900 0.000794 0.000010 0.000000 0.000000
0.794328 0.999897 0.000803 0.000010 0.000000 0.000000
0.803526 0.999895 0.000813 0.000010 0.000000 0.000000
0.812831 0.999892 0.000822 0.000010 0.000000 0.000000
0.822243 0.999890 0.000832 0.000011 0.000000 0.000000
0.831764 0.999887 0.000841 0.000011 0.000000 0.000000
0.841395 0.999884 0.000851 0.000011 0.000000 0.000000
0.851138 0.999881 0.000861 0.000011 0.000000 0.000000
0.860994 0.999878 0.000871 0.000012 0.000000 0.000000
0.870964 0.999875 0.000881 0.000012 0.000000 0.000000
0.881049 0.999873 0.000891 0.000012 0.000000 0.000000
0.891251 0.999870 0.000901 0.000012 0.000000 0.000000
0.901571 0.999867 0.000912 0.000013 0.000000 0.000000
0.912011 0.999864 0.000922 0.000013 0.000000 0.000000
0.922571 0.999861 0.000933 0.000013 0.000000 0.000000
0.933254 0.999857 0.000944 0.000014 0.000000 0.000000
0.944061 0.999854 0.000955 0.000014 0.000000 0.000000
0.954993 0.999851 0.000966 0.000014 0.000000 0.000000
0.966051 0.999847 0.000977 0.000015 0.000000 0.000000
0.977237 0.999844 0.000988 0.000015 0.000000 0.000000
0.988553 0.999840 0.001000 0.000015 0.000000 0.000000
1.000000 0.999836 0.001011 0.000016 0.000000 0.000000
1.011580 0.999833 0.001023 0.000016 0.000000 0.000000
1.023290 0.999829 0.001035 0.000016 0.000000 0.000000
1.035140 0.999825 0.001047 0.000017 0.000000 0.000000
1.047130 0.999820 0.001059 0.000017 0.000000 0.000000
1.059250 0.999816 0.001071 0.000018 0.000000 0.000000
1.071520 0.999812 0.001084 0.000018 0.000000 0.000000
1.083930 0.999808 0.001096 0.000018 0.000000 0.000000
1.096480 0.999803 0.001109 0.000019 0.000000 0.000000
1.109170 0.999798 0.001122 0.000019 0.000000 0.000000
1.122020 0.999793 0.001135 0.000020 0.000000 0.000000
1.135010 0.999789 0.001148 0.000020 0.000000 0.000000
1.148150 0.999783 0.001161 0.000021 0.000000 0.000000
1.161450 0.999779 0.001175 0.000021 0.000000 0.000000
1.174900 0.999774 0.001188 0.000022 0.000000 0.000000
1.188500 0.999768 0.001202 0.000022 0.000000 0.000000
1.202260 0.999762 0.001216 0.000023 0.000000 0.000000
1.216190 0.999757 0.001230 0.000023 0.000000 0.000000
1.230270 0.999751 0.001244 0.000024 0.000000 0.000000
1.244510 0.999745 0.001258 0.000024 0.000000 0.000000
1.258930 0.999740 0.001273 0.000025 0.000000 0.000000
1.273500 0.999734 0.001288 0.000025 0.000000 0.000000
1.288250 0.999727 0.001303 0.000026 0.000000 0.000000
1.303170 0.999721 0.001318 0.000027 0.000000 0.000000
1.318260 0.999714 0.001333 0.000027 0.000000 0.000000
1.333520 0.999707 0.001348 0.000028 0.000000 0.000000
1.348960 0.999701 0.001364 0.000028 0.000000 0.000000
1.364580 0.999694 0.001380 0.000029 0.000000 0.000000
1.380380 0.999687 0.001396 0.000030 0.000000 0.000000
1.396370 0.999679 0.001412 0.000030 0.000000 0.000000
1.412540 0.999672 0.001428 0.000031 0.000000 0.000000
1.428890 0.999665 0.001445 0.000032 0.000000 0.000000
1.445440 0.999656 0.001462 0.000033 0.000000 0.000000
1.462180 0.999649 0.001478 0.000033 0.000000 0.000000
1.479110 0.999641 0.001496 0.000034 0.000000 0.000000
1.496240 0.999632 0.001513 0.000035 0.000000 0.000000
1.513560 0.999624 0.001530 0.000036 0.000000 0.000000
1.531090 0.999615 0.001548 0.000037 0.000000 0.000000
1.548820 0.999605 0.001566 0.000037 0.000000 0.000000
1.566750 0.999597 0.001584 0.000038 0.000000 0.000000
1.584890 0.999587 0.001602 0.000039 0.000000 0.000000
1.603250 0.999577 0.001621 0.000040 0.000000 0.000000
1.621810 0.999567 0.001640 0.000041 0.000000 0.000000
1.640590 0.999557 0.001659 0.000042 0.000000 0.000000
1.659590 0.999547 0.001678 0.000043 0.000000 0.000000
1.678800 0.999536 0.001697 0.000044 0.000000 0.000000
1.698240 0.999526 0.001717 0.000045 0.000000 0.000000
1.717910 0.999515 0.001737 0.000046 0.000000 0.000000
1.737800 0.999503 0.001757 0.000047 0.000000 0.000001
1.757920 0.999492 0.001777 0.000048 0.000000 0.000001
1.778280 0.999479 0.001798 0.000049 0.000000 0.000001
1.798870 0.999468 0.001819 0.000050 0.000000 0.000001
1.819700 0.999455 0.001840 0.000052 0.000000 0.000001
1.840770 0.999442 0.001861 0.000053 0.000000 0.000001
1.862090 0.999430 0.001883 0.000054 0.000000 0.000001
1.883650 0.999417 0.001904 0.000055 0.000000 0.000001
1.905460 0.999403 0.001926 0.000057 0.000000 0.000001
1.927520 0.999389 0.001949 0.000058 0.000000 0.000001
1.949840 0.999375 0.001971 0.000059 0.000000 0.000001
1.972420 0.999360 0.001994 0.000061 0.000000 0.000001
1.995260 0.999345 0.002017 0.000062 0.000000 0.000001
2.018370 0.999331 0.002040 0.000063 0.000000 0.000001
2.041740 0.999315 0.002064 0.000065 0.000000 0.000001
2.065380 0.999298 0.002088 0.000066 0.000000 0.000001
2.089300 0.999283 0.002112 0.000068 0.000000 0.000001
2.113490 0.999266 0.002136 0.000069 0.000000 0.000001
2.137960 0.999249 0.002161 0.000071 0.000000 0.000001
2.162720 0.999232 0.002186 0.000073 0.000000 0.000001
2.187760 0.999213 0.002211 0.000074 0.000000 0.000001
2.213090 0.999195 0.002237 0.000076 0.000000 0.000001
2.238720 0.999176 0.002263 0.000078 0.000000 0.000001
2.264640 0.999157 0.002289 0.000080 0.000000 0.000001
2.290870 0.999137 0.002315 0.000081 0.000000 0.000002
2.317390 0.999117 0.002342 0.000083 0.000000 0.000002
2.344230 0.999097 0.002369 0.000085 0.000000 0.000002
2.371370 0.999076 0.002397 0.000087 0.000000 0.000002
