### header ###
fiducial parameters:
Omega_m = 0.307115
Omega_nu = 0
Omega_de = 0.692885
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
############################
logbin 1
mins 0.1
maxs 10000
s bins 500
############################
Nmock 4271950
normR 1.06026e+06
############################
29 columns: s_central s_mean W^0_0(s) W^0_1(s) W^0_2(s) W^0_3(s) W^0_4(s) W^0_5(s) W^0_6(s) W^0_7(s) W^0_8(s) W^1_0(s) W^1_1(s) W^1_2(s) W^1_3(s) W^1_4(s) W^1_5(s) W^1_6(s) W^1_7(s) W^1_8(s) W^2_0(s) W^2_1(s) W^2_2(s) W^2_3(s) W^2_4(s) W^2_5(s) W^2_6(s) W^2_7(s) W^2_8(s)
### header ###
0.101165 0.101529 240.104 0.00857313 674.079 0.0266824 791.27 0.0390389 876.867 0.227543 -417.321 0.213157 -1.51689e-05 0.643017 -1.02608e-05 0.763529 7.29408e-06 0.770985 0.000188319 -0.352722 0.000190653 -3.53337e-08 0.000611256 -4.36353e-08 0.000732392 -2.11984e-08 0.000683536 1.55954e-07 -0.000301093
0.103521 0.103729 307.288 0.0134086 735.966 0.0240697 977.87 0.19637 -532.286 0.0619831 -1008.36 0.262383 -1.33912e-05 0.667737 -1.20127e-05 0.849611 0.000152923 -0.412526 9.65049e-05 -0.907278 0.000225483 -3.42132e-08 0.000606474 -4.09491e-08 0.000742464 1.1664e-07 -0.000319395 1.20194e-07 -0.000817895
0.105932 0.106068 187.749 0.0137803 146.426 0.057192 -722.816 -0.104659 -0.910198 -0.142708 994.838 0.153951 2.51193e-06 0.120197 5.52284e-05 -0.592685 -7.14191e-05 -0.00128225 -0.000133806 0.815897 0.000126252 -5.15076e-09 9.86784e-05 5.21191e-08 -0.000486041 -4.6743e-08 -1.49047e-06 -1.23485e-07 0.000669222
0.1084 0.107816 226.524 0.0221568 306.655 -0.00285815 406.443 0.125476 -397.858 0.12353 -1161.03 0.249983 1.03229e-05 0.219677 -3.55195e-05 0.438949 0.000125256 -0.37366 0.000179439 -1.18442 0.000283992 1.16528e-09 0.000112941 -6.78963e-08 0.000487635 1.23349e-07 -0.00034924 2.44336e-07 -0.0012341
0.110925 0.110557 454.95 0.0360332 840.778 0.0878007 221.9 0.275347 -1913.87 -0.328548 -1135.83 0.475307 -1.67177e-06 0.7549 6.41579e-05 0.148395 0.000315589 -1.9341 -0.000367573 -0.736089 0.000516947 -4.32738e-08 0.000692274 6.06537e-08 3.19522e-05 3.74397e-07 -0.00201963 -4.66325e-07 -0.000267269
0.113509 0.11257 328.043 0.0336497 271.355 0.088413 -660.29 -0.129923 -222.274 0.0250311 -435.297 0.345579 1.15133e-05 0.232197 0.000114821 -0.759015 -0.000141088 -0.0936898 1.65475e-06 -0.260695 0.000384019 -1.70206e-08 0.000223502 1.63355e-07 -0.00092082 -1.46436e-07 -1.61815e-05 -7.27756e-08 -2.65902e-05
0.116153 0.116471 544.246 0.0632512 521.129 0.0177024 567.333 -0.0606462 1549.33 0.096084 1589.02 0.623078 3.015e-05 0.405525 -2.00835e-05 0.493685 -4.71143e-05 1.16281 7.72804e-05 1.02618 0.000761876 -1.53287e-08 0.000312273 -6.4879e-08 0.000502023 1.59485e-09 0.000796243 1.29697e-07 0.000453605
0.118858 0.119185 196.595 0.0168477 476.589 -0.0105942 705.367 0.0689648 546.417 0.0415216 523.171 0.197548 1.04187e-05 0.285309 -6.09928e-05 0.642294 5.40778e-05 0.42854 3.58193e-05 0.351082 0.000228279 1.49671e-08 7.12933e-05 -1.12294e-07 0.000643556 5.65267e-08 0.000320999 5.90362e-08 0.000164749
0.121627 0.121808 355.205 0.0359143 124.397 -0.0116549 297.392 -0.0253384 687.632 0.228687 -434.021 0.309452 1.50258e-05 0.0750674 -2.45085e-05 0.276444 -3.73321e-05 0.574798 0.000188026 -0.380817 0.000271761 3.34983e-10 3.29681e-05 -3.34583e-08 0.000259513 -4.49907e-08 0.000478146 1.55662e-07 -0.000335731
0.12446 0.123064 44.4362 0.0028316 77.5532 0.0181382 -138.334 -0.00381892 -166.006 -0.0580995 143.256 0.0353472 -6.855e-07 0.0616904 1.50103e-05 -0.110039 2.93754e-06 -0.132051 -4.53602e-05 0.113954 2.81172e-05 -2.88228e-09 4.90722e-05 1.24031e-08 -8.75315e-05 7.08983e-09 -0.000105041 -3.54017e-08 9.06457e-05
0.127359 0.127622 450.135 0.0409804 449.617 0.0240028 452.8 0.0198163 624.543 0.0917037 464.121 0.408414 2.42714e-06 0.435154 -1.3538e-05 0.50138 -2.8041e-06 0.593381 7.58285e-05 0.346694 0.000373981 -3.07148e-08 0.000418322 -5.11546e-08 0.000540938 -2.71281e-08 0.000560576 6.30281e-08 0.000251072
0.130325 0.130183 251.375 0.0217001 239.921 -0.00968139 587.759 0.182411 -574.922 -0.120555 4.07857 0.212283 4.84647e-07 0.227714 -2.85624e-05 0.524196 0.000150695 -0.460302 -7.21927e-05 -0.0420207 0.000180231 -1.5985e-08 0.000216203 -4.42037e-08 0.000468063 1.2222e-07 -0.000368169 -3.47117e-08 -7.57383e-05
0.133361 0.132688 79.8886 0.00670965 108.988 0.0370144 -284.517 -0.0294528 -189.971 -0.119939 382.04 0.0695414 -3.67082e-07 0.0948721 3.52898e-05 -0.247666 -1.32842e-05 -0.165366 -0.0001083 0.332558 6.05344e-05 -5.72321e-09 8.25842e-05 3.3391e-08 -0.000215588 -8.09832e-10 -0.000143948 -9.76642e-08 0.000289485
